Designator,Mid X,Mid Y,Rotation,Layer
BT101,36.9,20.0,0.0,top
C1001,8.8,80.25,90.0,top
C1002,9.08,70.98,270.0,top
C1003,10.100001,70.98,90.0,top
C1004,8.225001,77.579299,90.0,top
C1005,14.55,78.8343,90.0,top
C1006,9.75,79.1543,90.0,top
C1007,11.550001,70.98,270.0,top
C1008,15.93,74.5,0.0,top
C1009,8.08,72.45,180.0,top
C101,86.45,80.7,270.0,top
C102,82.4,85.3,90.0,top
C103,51.95,72.775,90.0,top
C104,65.85,35.35,270.0,top
C105,65.85,33.05,90.0,top
C106,78.75,34.15,90.0,top
C107,73.62,95.4,0.0,top
C108,73.6,91.5,0.0,top
C1201,26.38,82.05,180.0,top
C1202,25.1,88.77,270.0,top
C1203,27.88,83.33,90.0,top
C1204,28.42,85.6,180.0,top
C1205,23.4,88.77,270.0,top
C1206,17.0,85.55,180.0,top
C1207,29.35,88.12,90.0,top
C1208,29.35,90.04,90.0,top
C1209,29.35,91.96,90.0,top
C1401,32.5,80.12,90.0,top
C1402,32.85,70.9,270.0,top
C1403,33.874999,70.895001,90.0,top
C1404,31.8,77.65,180.0,top
C1405,38.324999,78.755001,90.0,top
C1406,33.524999,79.075001,90.0,top
C1407,35.274999,70.875001,270.0,top
C1408,39.7,74.552,0.0,top
C1409,31.85,72.35,180.0,top
C1501,86.65,32.75,180.0,top
C1502,86.1,27.0,0.0,top
C1503,85.8,28.25,0.0,top
C1504,2.3,78.8,90.0,top
C1505,2.3,72.5,270.0,top
C1506,81.44514,32.563609,0.0,top
C1507,81.44514,31.053609,0.0,top
C1508,79.22,23.4,0.0,top
C1509,40.748112,29.980001,0.0,top
C1510,42.948112,30.380001,90.0,top
C1511,30.888112,28.980001,180.0,top
C1512,33.75,28.1,180.0,top
C1513,35.188112,27.660001,270.0,top
C1514,23.25,47.45,180.0,top
C1515,25.72,47.45,0.0,top
C1516,24.5,60.1,90.0,top
C1517,90.9,21.8,0.0,top
C201,16.25,12.87,90.0,top
C202,8.35,18.9,180.0,top
C203,9.5,22.25,180.0,top
C204,48.4,12.1,180.0,top
C205,48.4,15.6,180.0,top
C206,82.3,11.375,0.0,top
C207,83.975,12.65,180.0,top
C208,76.7,16.15,270.0,top
C209,77.9,15.575,90.0,top
C210,48.95,6.95,270.0,top
C211,52.7,6.95,270.0,top
C212,50.85,8.0,270.0,top
C213,83.35,19.875,270.0,top
C214,78.4,7.405,270.0,top
C215,50.4,9.5,180.0,top
C216,51.375,10.8,180.0,top
C217,79.17,20.55,0.0,top
C218,81.975,20.925,90.0,top
C219,68.5,5.98,270.0,top
C220,73.5,20.7,0.0,top
C221,72.503057,6.0,270.0,top
C222,71.5,6.0,270.0,top
C223,70.496943,6.0,270.0,top
C224,69.493886,6.0,270.0,top
C225,56.55,23.95,90.0,top
C226,52.400829,16.3,180.0,top
C227,53.125,17.6,180.0,top
C228,74.525,24.0,0.0,top
C229,58.0,4.925,270.0,top
C230,52.55,19.2,180.0,top
C231,74.515829,22.475,0.0,top
C232,53.95,4.075,180.0,top
C233,53.975,27.55,180.0,top
C301,73.22,69.7,180.0,top
C302,56.12,67.35,0.0,top
C303,52.4,81.05,180.0,top
C304,57.9,64.85,180.0,top
C305,61.5025,59.205,0.0,top
C306,71.9475,68.545,0.0,top
C307,76.45,83.2,180.0,top
C308,72.72,83.2,180.0,top
C309,69.15,83.2,180.0,top
C310,65.2,83.2,180.0,top
C311,81.2,65.4,0.0,top
C312,77.4,60.88,90.0,top
C313,66.1,58.55,180.0,top
C314,58.1925,55.75,180.0,top
C315,63.05,56.45,90.0,top
C316,80.55,51.4,90.0,top
C317,58.8547,79.4346,270.0,top
C801,40.166499,35.538644,90.0,top
C802,39.166499,35.538644,90.0,top
C803,29.184999,58.142859,90.0,top
C804,40.286499,38.018644,0.0,top
C805,41.27,37.05,0.0,top
C806,42.984999,45.457145,270.0,top
C807,42.52,42.1,180.0,top
C808,33.35,35.5,270.0,top
C809,34.366499,35.498644,270.0,top
C810,41.984999,45.457145,270.0,top
C811,38.166499,35.218644,270.0,top
C812,38.425,33.35,0.0,top
C813,40.214999,42.317145,90.0,top
C814,40.304999,40.037145,0.0,top
C815,35.284999,53.065716,180.0,top
C816,40.266499,39.018644,180.0,top
C817,36.384999,50.922859,180.0,top
C818,25.934999,52.84,90.0,top
C819,39.434999,48.317145,270.0,top
C820,36.4,61.7,180.0,top
C821,38.92,45.0,180.0,top
C822,28.15,66.15,270.0,top
C823,35.284999,57.35143,180.0,top
C824,38.414999,48.317145,270.0,top
C825,26.25,56.125,270.0,top
C826,35.3,59.55,180.0,top
C827,37.714999,42.657145,90.0,top
C828,38.984999,42.657145,90.0,top
C829,36.384999,55.208573,180.0,top
C830,36.415001,65.5,180.0,top
C831,35.584999,48.317145,270.0,top
C832,35.3,67.5,180.0,top
C833,35.1,45.0,180.0,top
C834,34.574999,48.317145,270.0,top
C835,35.114999,42.637145,90.0,top
C836,36.384999,42.657145,90.0,top
C837,39.25,65.7,270.0,top
C838,32.184999,45.717145,270.0,top
C839,31.709999,42.4,180.0,top
C840,31.174999,45.717145,270.0,top
C841,32.964999,40.737145,180.0,top
C842,33.854999,42.257145,90.0,top
C843,27.035001,59.44,90.0,top
C844,39.263914,55.106086,270.0,top
C845,27.37,62.725,270.0,top
C901,15.8565,35.483642,90.0,top
C902,14.8565,35.483642,90.0,top
C903,4.875,58.087857,90.0,top
C904,15.9765,37.963642,0.0,top
C905,16.67,37.0,0.0,top
C906,18.675,45.402143,270.0,top
C907,18.15,42.05,180.0,top
C908,9.05,35.45,270.0,top
C909,10.0565,35.443642,270.0,top
C910,17.675,45.402143,270.0,top
C911,13.8565,35.163642,270.0,top
C912,13.9,33.5,0.0,top
C913,15.905,42.262143,90.0,top
C914,15.995,39.982143,0.0,top
C915,10.975,53.010714,180.0,top
C916,15.9565,38.963642,180.0,top
C917,12.075,50.867857,180.0,top
C918,22.034999,52.815,90.0,top
C919,15.075,48.262143,270.0,top
C920,12.090001,61.644998,180.0,top
C921,14.6,44.95,180.0,top
C922,3.840001,66.094998,270.0,top
C923,10.975,57.296428,180.0,top
C924,14.055,48.262143,270.0,top
C925,22.35,56.1,270.0,top
C926,10.990001,59.494998,180.0,top
C927,13.405,42.602143,90.0,top
C928,14.675,42.602143,90.0,top
C929,12.075,55.153571,180.0,top
C930,12.105002,65.444998,180.0,top
C931,11.275,48.262143,270.0,top
C932,10.990001,67.444998,180.0,top
C933,10.8,44.95,180.0,top
C934,10.265,48.262143,270.0,top
C935,10.805,42.582143,90.0,top
C936,12.075,42.602143,90.0,top
C937,14.940001,65.644998,270.0,top
C938,7.875,45.662143,270.0,top
C939,7.4,42.35,180.0,top
C940,6.865,45.662143,270.0,top
C941,8.655,40.682143,180.0,top
C942,9.545,42.202143,90.0,top
C943,20.665001,59.415,90.0,top
C944,14.953915,55.051084,270.0,top
C945,21.0,62.7,270.0,top
D101,85.65,83.95,90.0,top
D102,49.75,74.2,0.0,top
D1501,87.15,4.15,180.0,top
D1502,87.725,20.15,270.0,top
D1503,89.225,8.0225,90.0,top
D201,3.145,35.36,0.0,top
FB1501,31.124249,36.446394,90.0,top
FB201,53.97,6.95,90.0,top
GD101,92.95,83.9,0.0,top
J101,94.332,74.6,180.0,top
J102,94.332,36.71,180.0,top
J1501,93.975,15.58,90.0,top
J201,5.0,20.630975,270.0,top
J202,11.52,13.120975,180.0,top
L101,79.8,35.85,0.0,top
L1501,81.6875,29.4,180.0,top
L1502,27.35,41.95,180.0,top
L305,79.4,79.4,270.0,top
