Designator,Footprint,Quantity,Value,LCSC Part #
BT101,S8401-46,1,CR3032 holder,C5904513
"C1001, C1002, C1401, C1402, C212, C806, C810, C819, C824, C831, C834, C838, C840, C906, C910, C919, C924, C931, C934, C938, C940",0402,21,4.7uF,
"C1003, C1004, C1005, C1006, C1007, C1008, C1009, C107, C108, C1201, C1202, C1203, C1204, C1205, C1206, C1403, C1404, C1405, C1406, C1407, C1408, C1409, C1501, C1511, C207, C208, C210, C211, C216, C227, C228, C229, C230, C231, C232, C233, C317, C802, C803, C804, C809, C811, C818, C822, C837, C843, C844, C902, C903, C904, C909, C911, C918, C922, C937, C943, C944",0402,57,100nF,
"C101, C102, C103, C825, C845, C925, C945",1206,7,100nF,GRM3195C2A104JA01D
"C104, C105",0402,2,10uF,C479655
"C106, C311, C313, C813, C814, C827, C828, C835, C836, C841, C842, C913, C914, C927, C928, C935, C936, C941, C942",0402,19,150pF,
"C1207, C1208, C1209, C204, C205, C217, C218",0402,7,27pF,
"C1502, C1506, C1507, C1517",0603,4,10uF,
"C1503, C1504, C1505, C1509, C1510, C206, C209, C213, C214, C215, C226, C801, C816, C901, C916",0402,15,1uF,
C1508,0402,1,200pF,
"C1512, C1515, C219, C220",0402,4,2.2uF,
"C1513, C1514, C1516",0402,3,10nF,
"C201, C202, C203, C221, C222, C223, C224, C225, C805, C808, C812, C905, C908, C912",0402,14,10uF,
"C301, C303",0402,2,910pF,
C302,0402,1,1.5nF,
"C304, C306, C312",0402,3,300pF,
C305,0402,1,620pF,
"C307, C310, C807, C821, C833, C839, C907, C921, C933, C939",0402,10,2.2nF,
"C308, C309",0402,2,1nF,
"C314, C316",0402,2,75pF,
C315,0402,1,160pF,
"C815, C817, C820, C823, C826, C829, C830, C832, C915, C917, C920, C923, C926, C929, C930, C932",0805,16,8nF 1%,
D101,D_SOD-882,1,TPD1E0B04DPY,
D102,0402,1,SP0402B-ELC-01ETG,SP0402B-ELC-01ETG
D1501,D_SMB,1,SMBJ15A,SMBJ15A
"D1502, D1503",D_SOD-923,2,ESD9B5.0ST5G,
D201,UHD111AFKAC3K23E1L3VG5ZB3Z3,1,LED_BGRA,UHD111A-FKA-C3K23E1L3VG5ZB3Z3
"FB1501, FB201",0603,2,600,MI0603J601R-10
GD101,GDT3535S1RP,1,350V,GDT35-35-S1-RP
"J101, J102",733910083,2,SMA,733910083
J1501,USB_C_Receptacle_HRO_TYPE-C-31-M-12-bursted,1,pwr+data,TYPE-C-31-M-12
J201,68710814022,1,68710814022,5034800800
J202,FTSH10501LDVK,1,FTSH-105-01-L-DV-K,
L101,0603,1,47nH,C98076
L1501,0805,1,2.2uH,
L1502,1210,1,1.5uH,NLV32T-1R5J-EF
"L301, L302",1812,2,2.7uH,1812CS-332XJR
"L303, L304",1812,2,1.2uH,1812CS-122XJR
"L305, L307",1812,2,3.3uH,1812CS-332XJR
L306,1812,1,2.7uH,1812CS-272XJR
"L308, L309",1008,2,560nH,1008CS-561XJR
"L310, L311",1008,2,330nH,1008CS-331XJR
"R1001, R1401, R1502, R218",0402,4,22.1k,
"R1002, R1402, R201, R204, R205, R225, R803, R813, R903, R913",0402,10,10k,
"R1003, R1201, R1403, R202, R203, R206, R207, R208, R212, R213, R216, R217, R219, R220, R806, R808, R906, R908",0402,18,22,
R101,0402,1,100k,ERJ-P08J104V
"R1202, R1207, R1208, R1209, R222",0402,5,330,
"R1203, R1204, R1205, R1206, R1501",0402,5,100k,
"R1503, R1504, R1506",0402,3,47k,
"R1505, R401, R402, R501, R502, R601, R602, R701, R702",0402,9,34.4,
"R1507, R1508",0402,2,1k,
"R1509, R1510, R223, R224",0402,4,5.1k,
"R209, R210, R211, R214, R215, R801, R802, R804, R805, R809, R810, R811, R812, R901, R902, R904, R905, R909, R910, R911, R912",0402,21,100,
R221,0402,1,8.06k,
"R403, R503, R603, R703",0402,4,562,
"R807, R814, R907, R914",0402,4,10,
SW201,Panasonic_EVQPUK_EVQPUB,1,Push button switch,
T101,Transformer-2P-2S-BN-43-202,1,"BN-43-202, 50:2x22 ohm, 3 turns primary, 2 turns secondary trifilar #30 AWG",
"U1001, U1401",QFNS32_LAT,2,ICE40LP384-SG32,
"U101, U103, U309",SOIC_G14DCK3_TEX,3,SN74LVC2G14DCK3,
U102,ublox_MAX,1,GNSS module,C5117921
U1501,SON65P300X300X100-9N-D,1,TPS74612PQWDRBRQ1,TPS74612PQWDRBRQ1
U1502,SOT-23-6,1,LMR51430,
U1503,SOT95P280X145-6N,1,TPS22918DBVR,TPS22918DBVR
U1504,DBV0005A-MFG,1,TPS7A2033PDBVR,
U1505,SOT95P280X145-5N,1,OPA320AIDBVR,
U201,LQFP-100_14x14mm_P0.5mm,1,STM32H753VITx,
U202,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,USB3343,USB3343-CP-TR
"U301, U302, U303, U304, U305, U306, U307, U308, U401, U402, U501, U502, U601, U602, U701, U702",SOT65P220X110-6N,16,AS183-92LF,AS183-92LF
"U801, U803, U804, U805, U901, U903, U904, U905",DGV14,8,SN74CBTLV3125RGYR,
"U802, U902",RTW24_4P15X4P15_TEX,2,XLV320ADC5140IRTWR,
Y1201,ECSTXO201633400TR,1,40MHz,ECS-TXO-2016-33-400-TR
Y1202,QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,Si5351C-B-GM,
"Y201, Y202",Crystal_SMD_2520-4Pin_2.5x2.0mm,2,26MHz,E2X260181G01
