Designator,Mid X,Mid Y,Rotation,Layer
C605,68.05,59.15,0.0,top
C606,68.05,57.65,0.0,top
C607,60.475,57.95,180.0,top
C608,60.475,59.45,180.0,top
C701,59.86082,94.692982,90.0,top
C702,56.26082,94.717982,90.0,top
C703,52.54382,94.717982,90.0,top
C704,48.99682,94.692982,90.0,top
C705,59.89832,83.392982,270.0,top
C706,56.36682,83.367982,270.0,top
C707,52.77482,83.367982,270.0,top
C708,49.06782,83.367982,270.0,top
C709,45.58582,94.680482,90.0,top
C710,42.11082,94.642982,90.0,top
C711,46.21882,82.717982,270.0,top
C712,44.63282,82.717982,270.0,top
D101,80.70082,83.992982,0.0,top
D1201,87.45,3.35,180.0,top
D1202,87.725,20.15,270.0,top
D1203,89.225,8.0225,90.0,top
D301,37.20082,93.592982,270.0,top
FB1201,86.3875,47.7,180.0,top
FB1301,17.6225,18.41,180.0,top
FB201,53.97,6.95,90.0,top
FB301,87.65,63.575,180.0,top
FB302,89.875,58.685,0.0,top
GD101,85.2,72.7,90.0,top
J101,94.332,74.6,180.0,top
J1201,93.975,15.58,90.0,top
J201,5.0,14.12,270.0,top
J202,11.52,6.61,180.0,top
L1201,95.6,41.2,180.0,top
L1202,80.9375,34.1,180.0,top
L301,88.6875,61.185,0.0,top
L302,92.0625,56.315,0.0,top
L701,35.91082,82.167982,180.0,top
L702,35.08582,87.417982,90.0,top
R1001,66.190821,85.542982,0.0,top
R1002,66.195821,84.533982,0.0,top
R1003,66.190821,83.517982,180.0,top
R101,86.925,79.0,0.0,top
R1101,75.32582,77.757983,90.0,top
R1102,76.33482,77.762983,90.0,top
R1103,77.35082,77.757982,270.0,top
R1201,91.575,42.0,0.0,top
R1202,88.525,41.55,270.0,top
R1203,82.1,31.79,90.0,top
R1204,82.1,29.77,90.0,top
R1205,85.0,20.325,270.0,top
R1206,86.5,20.325,90.0,top
R1207,87.973335,8.425,270.0,top
R1208,86.473335,8.425,90.0,top
R1301,32.20082,89.782982,90.0,top
R1302,32.20082,87.692982,90.0,top
R1303,10.38,38.0,180.0,top
R1304,10.39,35.8,180.0,top
R1305,32.20082,85.592982,90.0,top
R1306,10.38,36.9,180.0,top
R1307,9.6,33.9,90.0,top
R1308,12.4,32.8,180.0,top
R1401,69.51,63.5918,0.0,top
R1402,71.9,63.5918,180.0,top
R1403,72.982656,54.144143,180.0,top
R1404,69.95,54.1,180.0,top
R1405,73.75,50.525,270.0,top
R1406,69.15,50.575,270.0,top
R1501,30.360063,63.4268,0.0,top
R1502,32.750063,63.4268,180.0,top
R1503,34.12053,54.043197,180.0,top
R1504,31.087874,53.999054,180.0,top
R1505,34.887874,50.424054,270.0,top
R1506,30.287874,50.474054,270.0,top
R1601,5.435063,63.4268,0.0,top
R1602,7.825063,63.4268,180.0,top
R1603,9.19553,54.043197,180.0,top
R1604,6.162874,53.999054,180.0,top
R1605,9.962874,50.424054,270.0,top
R1606,5.362874,50.474054,270.0,top
R1701,54.66,63.4168,0.0,top
R1702,57.05,63.4168,180.0,top
R1703,58.420467,54.033197,180.0,top
R1704,55.387811,53.989054,180.0,top
R1705,59.187811,50.414054,270.0,top
R1706,54.587811,50.464054,270.0,top
R1801,45.210063,63.6018,0.0,top
R1802,47.600063,63.6018,180.0,top
R1803,48.682719,54.154143,180.0,top
R1804,45.650063,54.11,180.0,top
R1805,49.450063,50.535,270.0,top
R1806,44.850063,50.585,270.0,top
R1901,20.285063,63.6018,0.0,top
R1902,22.675063,63.6018,180.0,top
R1903,23.757719,54.154143,180.0,top
R1904,20.725063,54.11,180.0,top
R1905,24.525063,50.535,270.0,top
R1906,19.925063,50.585,270.0,top
R201,89.95,23.9,0.0,top
R202,52.625829,24.25,180.0,top
R203,65.025,26.21,90.0,top
R204,74.225,16.675,0.0,top
R205,53.25,22.3,180.0,top
R206,67.1,25.65,90.0,top
R207,52.7,21.1,0.0,top
R208,66.7,5.31,270.0,top
R209,74.415,18.1,0.0,top
R210,69.8,26.235,270.0,top
R211,48.05,10.35,180.0,top
R212,74.425,19.15,180.0,top
R213,62.45,25.61,270.0,top
R214,59.5,4.6,270.0,top
R215,84.325,14.75,180.0,top
R216,83.790937,17.4,0.0,top
R217,73.980829,13.855,180.0,top
R218,73.980829,14.925,180.0,top
R219,30.925,5.525,270.0,top
R220,29.35,4.475,90.0,top
R301,84.1825,65.825,0.0,top
R302,83.2325,66.8675,180.0,top
R303,79.29,57.16,180.0,top
R304,77.525,58.8,0.0,top
R305,82.235,65.825,0.0,top
R306,79.776221,58.925,270.0,top
R307,87.3475,58.935,180.0,top
R308,87.34,57.9,180.0,top
R309,46.675,27.69,90.0,top
R310,45.666667,27.69,90.0,top
R311,44.658333,27.69,90.0,top
R312,43.65,27.69,90.0,top
R401,42.425063,54.035,90.0,top
R501,17.500063,54.035,90.0,top
R601,66.725,54.025,90.0,top
R801,69.43782,94.827981,270.0,top
R802,68.42882,94.822981,270.0,top
R803,67.41282,94.827981,90.0,top
R901,78.205819,87.783982,180.0,top
R902,78.20082,88.792982,180.0,top
R903,78.205821,89.808982,0.0,top
SW201,94.55,27.1125,90.0,top
U1001,69.025819,86.687981,0.0,top
U1002,69.025819,82.467983,0.0,top
U1101,74.180821,80.592981,90.0,top
U1102,78.40082,80.592981,90.0,top
U1201,85.1375,35.2,180.0,top
U1202,91.0125,40.2,0.0,top
U1203,86.8,52.0375,90.0,top
U1204,78.96,30.75,90.0,top
U1205,95.3,61.4,90.0,top
U1206,28.5,30.2,0.0,top
U1207,27.7,11.2,0.0,top
U1301,16.813924,27.396516,0.0,top
U1401,71.7,58.7617,270.0,top
U1501,32.500062,58.56345,270.0,top
U1601,7.575062,58.56345,270.0,top
U1701,56.799999,58.55345,270.0,top
U1801,47.400063,58.7717,270.0,top
U1901,22.475063,58.7717,270.0,top
U2001,50.25082,74.342982,180.0,top
U2002,57.95082,74.342982,180.0,top
U2003,66.87582,72.317982,180.0,top
U2004,39.62582,74.442982,180.0,top
U201,63.490829,15.7,270.0,top
U202,78.65,11.525,90.0,top
U301,82.1125,62.0475,90.0,top
U302,46.55,34.4,270.0,top
U401,39.95,58.725,0.0,top
U501,15.025,58.725,0.0,top
U601,64.249937,58.715,0.0,top
U701,59.88582,91.317982,90.0,top
U702,56.26582,91.317982,90.0,top
U703,52.56082,91.317982,90.0,top
U704,49.02582,91.292982,90.0,top
U705,59.89832,86.742982,270.0,top
U706,56.32082,86.742982,270.0,top
U707,52.74082,86.742982,270.0,top
U708,49.04582,86.742982,270.0,top
U709,45.59582,91.305482,90.0,top
U710,42.11282,91.287982,90.0,top
U711,45.38582,86.742982,270.0,top
U712,40.91082,83.692982,180.0,top
U801,70.582819,91.992984,270.0,top
U802,66.362821,91.992983,270.0,top
U901,75.370822,86.638983,180.0,top
U902,75.370822,90.858982,180.0,top
Y1301,27.351424,23.971516,90.0,top
Y201,50.865829,13.875,90.0,top
Y202,80.275,18.475,0.0,top
