Ref,Qty,Target_Value,Target_Footprint,Target_Voltage,Target_CapType,Search_Query,Existing_MPN,Existing_Mouser_PN,Suggested_MPN,Suggested_Mouser_PN,Notes
C1312,1,220pF,0603,50V,NP0,,C1608C0G1H221F080AA,810-C1608C0G1H221F,C1608C0G1H221F080AA,810-C1608C0G1H221F,"Stock: 4271 In Stock, Price: $0.30"
C1313,1,1uF,0402,25V,X5R,,GRM155R61E105KE11D,81-GRM155R61E105KE1D,GRM155R61E105KE11D,81-GRM155R61E105KE1D,"Stock: 59665 In Stock, Price: $0.11, WARNING: Voltage mismatch? (Expected 25V)"
C1314,1,1uF,0402,25V,X5R,,GRM155R61E105KE11D,81-GRM155R61E105KE1D,GRM155R61E105KE11D,81-GRM155R61E105KE1D,"Stock: 59665 In Stock, Price: $0.11, WARNING: Voltage mismatch? (Expected 25V)"
C1315,1,1uF,0402,25V,X5R,,GRM155R61E105KE11D,81-GRM155R61E105KE1D,GRM155R61E105KE11D,81-GRM155R61E105KE1D,"Stock: 59665 In Stock, Price: $0.11, WARNING: Voltage mismatch? (Expected 25V)"
C1316,1,1nF,0402,25V,X5R,,GRM155R61E105KE11D,81-GRM155R61E105KE1D,GRM155R61E105KE11D,81-GRM155R61E105KE1D,"Stock: 59665 In Stock, Price: $0.11, WARNING: Voltage mismatch? (Expected 25V)"
C1317,1,1uF,0402,25V,X5R,,GRM155R61E105KE11D,81-GRM155R61E105KE1D,GRM155R61E105KE11D,81-GRM155R61E105KE1D,"Stock: 59665 In Stock, Price: $0.11, WARNING: Voltage mismatch? (Expected 25V)"
C1318,1,1uF,0402,25V,X5R,,GRM155R61E105KE11D,81-GRM155R61E105KE1D,GRM155R61E105KE11D,81-GRM155R61E105KE1D,"Stock: 59665 In Stock, Price: $0.11, WARNING: Voltage mismatch? (Expected 25V)"
C1401,1,4.7uF,0805,10V,tant,,298D475X9010M2T,74-298D475X9010M2T,298D475X9010M2T,74-298D475X9010M2T,"Stock: 6346 In Stock, Price: $1.15, WARNING: Footprint mismatch? (Expected 0805)"
C1402,1,1uF,0402,25V,X5R,,GRM155R61E105KE11D,81-GRM155R61E105KE1D,GRM155R61E105KE11D,81-GRM155R61E105KE1D,"Stock: 59665 In Stock, Price: $0.11, WARNING: Voltage mismatch? (Expected 25V)"
C1403,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C1404,1,4.7uF,0805,10V,tant,,298D475X9010M2T,74-298D475X9010M2T,298D475X9010M2T,74-298D475X9010M2T,"Stock: 6346 In Stock, Price: $1.15, WARNING: Footprint mismatch? (Expected 0805)"
C1405,1,100nF,1206,50V,NP0,,GRM3195C2A104JA01D,81-GRM31C5C2A104JA1L,GRM31C5C2A104JA01L,81-GRM31C5C2A104JA1L,"Stock: 98915 In Stock, Price: $0.51, WARNING: Voltage mismatch? (Expected 50V)"
C1406,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C1407,1,100nF,1206,50V,NP0,,GRM3195C2A104JA01D,81-GRM31C5C2A104JA1L,GRM31C5C2A104JA01L,81-GRM31C5C2A104JA1L,"Stock: 98915 In Stock, Price: $0.51, WARNING: Voltage mismatch? (Expected 50V)"
C1408,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C1409,1,4.7uF,0805,10V,tant,,298D475X9010M2T,74-298D475X9010M2T,298D475X9010M2T,74-298D475X9010M2T,"Stock: 6346 In Stock, Price: $1.15, WARNING: Footprint mismatch? (Expected 0805)"
C1410,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C1411,1,10uF,0603,25V,X7R,,81-GXT155R71E223KE1D,963-MLAST168BB5106MT,MLAST168BB5106MTNA01,963-MLAST168BB5106MT,"Stock: N/A, Price: $0.39, WARNING: Dielectric mismatch? (Expected X7R)"
C1412,1,1uF,0402,25V,X5R,,GRM155R61E105KE11D,81-GRM155R61E105KE1D,GRM155R61E105KE11D,81-GRM155R61E105KE1D,"Stock: 59665 In Stock, Price: $0.11, WARNING: Voltage mismatch? (Expected 25V)"
C1413,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C1414,1,8pF,0603,50V,NP0,,CGA3E2C0G1H080D080AA,810-CGA3E2C0G1H080D,CGA3E2C0G1H080D080AA,810-CGA3E2C0G1H080D,"Stock: 61594 In Stock, Price: $0.14"
C1415,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C1416,1,10nF,0603,25V,X7R,,GCM1885C2A103JE02J,81-GCM1885C2A103JE2J ,GCM1885C2A103JE02J,81-GCM1885C2A103JE2J,"Stock: 7461 In Stock, Price: $0.19, WARNING: Voltage mismatch? (Expected 25V); Dielectric mismatch? (Expected X7R)"
C1417,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C1418,1,150pF,0603,50V,NP0,,06033A151FAT2A,581-06033A151FAT2A,06033A151FAT2A,581-06033A151FAT2A,"Stock: N/A, Price: $0.16, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V); Dielectric mismatch? (Expected NP0)"
C1419,1,150pF,0603,50V,NP0,,06033A151FAT2A,581-06033A151FAT2A,06033A151FAT2A,581-06033A151FAT2A,"Stock: N/A, Price: $0.16, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V); Dielectric mismatch? (Expected NP0)"
C1420,1,10nF,0603,25V,X7R,,GCM1885C2A103JE02J,81-GCM1885C2A103JE2J ,GCM1885C2A103JE02J,81-GCM1885C2A103JE2J,"Stock: 7461 In Stock, Price: $0.19, WARNING: Voltage mismatch? (Expected 25V); Dielectric mismatch? (Expected X7R)"
C1421,1,10nF,0603,25V,X7R,,GCM1885C2A103JE02J,81-GCM1885C2A103JE2J ,GCM1885C2A103JE02J,81-GCM1885C2A103JE2J,"Stock: 7461 In Stock, Price: $0.19, WARNING: Voltage mismatch? (Expected 25V); Dielectric mismatch? (Expected X7R)"
C1422,1,3.3nF,0603,25V,NP0,,C1608C0G1H332J080AE,810-C1608C0G1H332J08,C1608C0G1H332J080AE,810-C1608C0G1H332J08,"Stock: 8185 In Stock, Price: $0.25, WARNING: Voltage mismatch? (Expected 25V)"
C1423,1,3.3nF,0603,25V,NP0,,C1608C0G1H332J080AE,810-C1608C0G1H332J08,C1608C0G1H332J080AE,810-C1608C0G1H332J08,"Stock: 8185 In Stock, Price: $0.25, WARNING: Voltage mismatch? (Expected 25V)"
C1424,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C1425,1,1nF,0603,50V,NP0,,C1608C0G1H102J080AA,810-C1608C0G1H102J,C1608C0G1H102J080AA,810-C1608C0G1H102J,"Stock: 190791 In Stock, Price: $0.13"
C1426,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C1427,1,10nF,0603,25V,X7R,,GCM1885C2A103JE02J,81-GCM1885C2A103JE2J,GCM1885C2A103JE02J,81-GCM1885C2A103JE2J,"Stock: 7461 In Stock, Price: $0.19, WARNING: Voltage mismatch? (Expected 25V); Dielectric mismatch? (Expected X7R)"
C1501,1,100nF,1206,50V,NP0,,GRM3195C2A104JA01D,81-GRM31C5C2A104JA1L,GRM31C5C2A104JA01L,81-GRM31C5C2A104JA1L,"Stock: 98915 In Stock, Price: $0.51, WARNING: Voltage mismatch? (Expected 50V)"
C1502,1,100nF,1206,50V,NP0,,GRM3195C2A104JA01D,81-GRM31C5C2A104JA1L,GRM31C5C2A104JA01L,81-GRM31C5C2A104JA1L,"Stock: 98915 In Stock, Price: $0.51, WARNING: Voltage mismatch? (Expected 50V)"
C1503,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C1504,1,10uF,0603,25V,X7R,,81-GXT155R71E223KE1D,963-MLAST168BB5106MT,MLAST168BB5106MTNA01,963-MLAST168BB5106MT,"Stock: N/A, Price: $0.39, WARNING: Dielectric mismatch? (Expected X7R)"
C1505,1,1uF,0402,25V,X5R,,GRM155R61E105KE11D,81-GRM155R61E105KE1D,GRM155R61E105KE11D,81-GRM155R61E105KE1D,"Stock: 59665 In Stock, Price: $0.11, WARNING: Voltage mismatch? (Expected 25V)"
C1506,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C1507,1,150pF,0603,50V,NP0,,06033A151FAT2A,581-06033A151FAT2A,06033A151FAT2A,581-06033A151FAT2A,"Stock: N/A, Price: $0.16, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V); Dielectric mismatch? (Expected NP0)"
C1508,1,150pF,0603,50V,NP0,,06033A151FAT2A,581-06033A151FAT2A,06033A151FAT2A,581-06033A151FAT2A,"Stock: N/A, Price: $0.16, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V); Dielectric mismatch? (Expected NP0)"
C1509,1,3.3nF,0603,25V,NP0,,C1608C0G1H332J080AE,810-C1608C0G1H332J08,C1608C0G1H332J080AE,810-C1608C0G1H332J08,"Stock: 8185 In Stock, Price: $0.25, WARNING: Voltage mismatch? (Expected 25V)"
C1510,1,3.3nF,0603,25V,NP0,,C1608C0G1H332J080AE,810-C1608C0G1H332J08,C1608C0G1H332J080AE,810-C1608C0G1H332J08,"Stock: 8185 In Stock, Price: $0.25, WARNING: Voltage mismatch? (Expected 25V)"
C1601,1,100nF,1206,50V,NP0,,GRM3195C2A104JA01D,81-GRM31C5C2A104JA1L,GRM31C5C2A104JA01L,81-GRM31C5C2A104JA1L,"Stock: 98915 In Stock, Price: $0.51, WARNING: Voltage mismatch? (Expected 50V)"
C1602,1,100nF,1206,50V,NP0,,GRM3195C2A104JA01D,81-GRM31C5C2A104JA1L,GRM31C5C2A104JA01L,81-GRM31C5C2A104JA1L,"Stock: 98915 In Stock, Price: $0.51, WARNING: Voltage mismatch? (Expected 50V)"
C1603,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C1604,1,10uF,0603,25V,X7R,,81-GXT155R71E223KE1D,963-MLAST168BB5106MT,MLAST168BB5106MTNA01,963-MLAST168BB5106MT,"Stock: N/A, Price: $0.39, WARNING: Dielectric mismatch? (Expected X7R)"
C1605,1,1uF,0402,25V,X5R,,GRM155R61E105KE11D,81-GRM155R61E105KE1D,GRM155R61E105KE11D,81-GRM155R61E105KE1D,"Stock: 59665 In Stock, Price: $0.11, WARNING: Voltage mismatch? (Expected 25V)"
C1606,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C1607,1,150pF,0603,50V,NP0,,06033A151FAT2A,581-06033A151FAT2A,06033A151FAT2A,581-06033A151FAT2A,"Stock: N/A, Price: $0.16, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V); Dielectric mismatch? (Expected NP0)"
C1608,1,150pF,0603,50V,NP0,,06033A151FAT2A,581-06033A151FAT2A,06033A151FAT2A,581-06033A151FAT2A,"Stock: N/A, Price: $0.16, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V); Dielectric mismatch? (Expected NP0)"
C1609,1,3.3nF,0603,25V,NP0,,C1608C0G1H332J080AE,810-C1608C0G1H332J08,C1608C0G1H332J080AE,810-C1608C0G1H332J08,"Stock: 8185 In Stock, Price: $0.25, WARNING: Voltage mismatch? (Expected 25V)"
C1610,1,3.3nF,0603,25V,NP0,,C1608C0G1H332J080AE,810-C1608C0G1H332J08,C1608C0G1H332J080AE,810-C1608C0G1H332J08,"Stock: 8185 In Stock, Price: $0.25, WARNING: Voltage mismatch? (Expected 25V)"
C1701,1,100nF,1206,50V,NP0,,GRM3195C2A104JA01D,81-GRM31C5C2A104JA1L,GRM31C5C2A104JA01L,81-GRM31C5C2A104JA1L,"Stock: 98915 In Stock, Price: $0.51, WARNING: Voltage mismatch? (Expected 50V)"
C1702,1,100nF,1206,50V,NP0,,GRM3195C2A104JA01D,81-GRM31C5C2A104JA1L,GRM31C5C2A104JA01L,81-GRM31C5C2A104JA1L,"Stock: 98915 In Stock, Price: $0.51, WARNING: Voltage mismatch? (Expected 50V)"
C1703,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C1704,1,10uF,0603,25V,X7R,,81-GXT155R71E223KE1D,963-MLAST168BB5106MT,MLAST168BB5106MTNA01,963-MLAST168BB5106MT,"Stock: N/A, Price: $0.39, WARNING: Dielectric mismatch? (Expected X7R)"
C1705,1,1uF,0402,25V,X5R,,GRM155R61E105KE11D,81-GRM155R61E105KE1D,GRM155R61E105KE11D,81-GRM155R61E105KE1D,"Stock: 59665 In Stock, Price: $0.11, WARNING: Voltage mismatch? (Expected 25V)"
C1706,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C1707,1,150pF,0603,50V,NP0,,06033A151FAT2A,581-06033A151FAT2A,06033A151FAT2A,581-06033A151FAT2A,"Stock: N/A, Price: $0.16, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V); Dielectric mismatch? (Expected NP0)"
C1708,1,150pF,0603,50V,NP0,,06033A151FAT2A,581-06033A151FAT2A,06033A151FAT2A,581-06033A151FAT2A,"Stock: N/A, Price: $0.16, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V); Dielectric mismatch? (Expected NP0)"
C1709,1,3.3nF,0603,25V,NP0,,C1608C0G1H332J080AE,810-C1608C0G1H332J08,C1608C0G1H332J080AE,810-C1608C0G1H332J08,"Stock: 8185 In Stock, Price: $0.25, WARNING: Voltage mismatch? (Expected 25V)"
C1710,1,3.3nF,0603,25V,NP0,,C1608C0G1H332J080AE,810-C1608C0G1H332J08,C1608C0G1H332J080AE,810-C1608C0G1H332J08,"Stock: 8185 In Stock, Price: $0.25, WARNING: Voltage mismatch? (Expected 25V)"
C1801,1,100nF,1206,50V,NP0,,GRM3195C2A104JA01D,81-GRM31C5C2A104JA1L,GRM31C5C2A104JA01L,81-GRM31C5C2A104JA1L,"Stock: 98915 In Stock, Price: $0.51, WARNING: Voltage mismatch? (Expected 50V)"
C1802,1,100nF,1206,50V,NP0,,GRM3195C2A104JA01D,81-GRM31C5C2A104JA1L,GRM31C5C2A104JA01L,81-GRM31C5C2A104JA1L,"Stock: 98915 In Stock, Price: $0.51, WARNING: Voltage mismatch? (Expected 50V)"
C1803,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C1804,1,10uF,0603,25V,X7R,,81-GXT155R71E223KE1D,963-MLAST168BB5106MT,MLAST168BB5106MTNA01,963-MLAST168BB5106MT,"Stock: N/A, Price: $0.39, WARNING: Dielectric mismatch? (Expected X7R)"
C1805,1,1uF,0402,25V,X5R,,GRM155R61E105KE11D,81-GRM155R61E105KE1D,GRM155R61E105KE11D,81-GRM155R61E105KE1D,"Stock: 59665 In Stock, Price: $0.11, WARNING: Voltage mismatch? (Expected 25V)"
C1806,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C1807,1,150pF,0603,50V,NP0,,06033A151FAT2A,581-06033A151FAT2A,06033A151FAT2A,581-06033A151FAT2A,"Stock: N/A, Price: $0.16, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V); Dielectric mismatch? (Expected NP0)"
C1808,1,150pF,0603,50V,NP0,,06033A151FAT2A,581-06033A151FAT2A,06033A151FAT2A,581-06033A151FAT2A,"Stock: N/A, Price: $0.16, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V); Dielectric mismatch? (Expected NP0)"
C1809,1,3.3nF,0603,25V,NP0,,C1608C0G1H332J080AE,810-C1608C0G1H332J08,C1608C0G1H332J080AE,810-C1608C0G1H332J08,"Stock: 8185 In Stock, Price: $0.25, WARNING: Voltage mismatch? (Expected 25V)"
C1810,1,3.3nF,0603,25V,NP0,,C1608C0G1H332J080AE,810-C1608C0G1H332J08,C1608C0G1H332J080AE,810-C1608C0G1H332J08,"Stock: 8185 In Stock, Price: $0.25, WARNING: Voltage mismatch? (Expected 25V)"
C1901,1,100nF,1206,50V,NP0,,GRM3195C2A104JA01D,81-GRM31C5C2A104JA1L,GRM31C5C2A104JA01L,81-GRM31C5C2A104JA1L,"Stock: 98915 In Stock, Price: $0.51, WARNING: Voltage mismatch? (Expected 50V)"
C1902,1,100nF,1206,50V,NP0,,GRM3195C2A104JA01D,81-GRM31C5C2A104JA1L,GRM31C5C2A104JA01L,81-GRM31C5C2A104JA1L,"Stock: 98915 In Stock, Price: $0.51, WARNING: Voltage mismatch? (Expected 50V)"
C1903,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C1904,1,10uF,0603,25V,X7R,,81-GXT155R71E223KE1D,963-MLAST168BB5106MT,MLAST168BB5106MTNA01,963-MLAST168BB5106MT,"Stock: N/A, Price: $0.39, WARNING: Dielectric mismatch? (Expected X7R)"
C1905,1,1uF,0402,25V,X5R,,GRM155R61E105KE11D,81-GRM155R61E105KE1D,GRM155R61E105KE11D,81-GRM155R61E105KE1D,"Stock: 59665 In Stock, Price: $0.11, WARNING: Voltage mismatch? (Expected 25V)"
C1906,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C1907,1,150pF,0603,50V,NP0,,06033A151FAT2A,581-06033A151FAT2A,06033A151FAT2A,581-06033A151FAT2A,"Stock: N/A, Price: $0.16, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V); Dielectric mismatch? (Expected NP0)"
C1908,1,150pF,0603,50V,NP0,,06033A151FAT2A,581-06033A151FAT2A,06033A151FAT2A,581-06033A151FAT2A,"Stock: N/A, Price: $0.16, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V); Dielectric mismatch? (Expected NP0)"
C1909,1,3.3nF,0603,25V,NP0,,C1608C0G1H332J080AE,810-C1608C0G1H332J08,C1608C0G1H332J080AE,810-C1608C0G1H332J08,"Stock: 8185 In Stock, Price: $0.25, WARNING: Voltage mismatch? (Expected 25V)"
C1910,1,3.3nF,0603,25V,NP0,,C1608C0G1H332J080AE,810-C1608C0G1H332J08,C1608C0G1H332J080AE,810-C1608C0G1H332J08,"Stock: 8185 In Stock, Price: $0.25, WARNING: Voltage mismatch? (Expected 25V)"
D101,1,TPD1E0B04DPY,D_SOD-882,,,TPD1E0B04DPY D_SOD-882,,,,,No parts found
D301,1,SP0402B-ELC-01ETG,0402,,,,SP0402B-ELC-01ETG,576-SP0402BELC-01ETG,SP0402B-ELC-01ETG,576-SP0402BELC-01ETG,"Stock: 489207 In Stock, Price: $0.46, WARNING: Footprint mismatch? (Expected 0402)"
D1301,1,SMBJ15A,D_SMB,,,,SMBJ15A,,SMBJ15A,947-SMBJ15A,"Stock: 3668 In Stock, Price: $0.71, WARNING: Footprint mismatch? (Expected D_SMB)"
D1302,1,ESD9B5.0ST5G,D_SOD-923,,,ESD9B5.0ST5G D_SOD-923,,,,,No parts found
D1303,1,ESD9B5.0ST5G,D_SOD-923,,,ESD9B5.0ST5G D_SOD-923,,,,,No parts found
FB201,1,600,0603,,,,MI0603J601R-10,875-MI0603J601R-10,MI0603J601R-10,875-MI0603J601R-10,"Stock: 229160 In Stock, Price: $0.10"
FB301,1,600,0603,,,,MI0603J601R-10,875-MI0603J601R-10,MI0603J601R-10,875-MI0603J601R-10,"Stock: 229160 In Stock, Price: $0.10"
FB302,1,600,0603,,,,MI0603J601R-10,875-MI0603J601R-10,MI0603J601R-10,875-MI0603J601R-10,"Stock: 229160 In Stock, Price: $0.10"
FB1301,1,600,0603,,,,MI0603J601R-10,875-MI0603J601R-10,MI0603J601R-10,875-MI0603J601R-10,"Stock: 229160 In Stock, Price: $0.10"
FB1401,1,600,0603,,,,MI0603J601R-10,875-MI0603J601R-10,MI0603J601R-10,875-MI0603J601R-10,"Stock: 229160 In Stock, Price: $0.10"
GD101,1,350V,GDT3535S1RP,,,,GDT35-35-S1-RP,652-GDT35-35-S1-RP,GDT35-35-S1-RP,652-GDT35-35-S1-RP,"Stock: 1587 In Stock, Price: $1.63, WARNING: Footprint mismatch? (Expected GDT3535S1RP)"
J101,1,SMA,733910083,,,,733910083,,73391-0083,538-73391-0083,"Stock: 4851 In Stock, Price: $7.11, WARNING: Footprint mismatch? (Expected 733910083)"
J201,1,68710814022,68710814022,,,,5034800800,,503480-0800,538-503480-0800,"Stock: 21722 In Stock, Price: $0.80, WARNING: Footprint mismatch? (Expected 68710814022)"
J202,1,FTSH-105-01-L-DV-K,FTSH10501LDVK,,,FTSH-105-01-L-DV-K FTSH10501LDVK,,,FTSH-105-01-L-DV-K,200-FTSH10501LDVK,"Stock: 55187 In Stock, Price: $1.56, WARNING: Footprint mismatch? (Expected FTSH10501LDVK)"
J1301,1,pwr+data,USB_C_Receptacle_HRO_TYPE-C-31-M-12-bursted,,,,TYPE-C-31-M-12,,TYPE-C-31-M-12,,No parts found
L301,1,1.5uH,1210,,,,NLV32T-1R5J-EF,,NLV32T-1R5J-EF,810-NLV32T-1R5J-EF,"Stock: 3334 In Stock, Price: $0.17, WARNING: Footprint mismatch? (Expected 1210)"
L302,1,1.5uH,1210,,,,NLV32T-1R5J-EF,,NLV32T-1R5J-EF,810-NLV32T-1R5J-EF,"Stock: 3334 In Stock, Price: $0.17, WARNING: Footprint mismatch? (Expected 1210)"
L701,1,1.5uH,1210,,,,NLV32T-1R5J-EF,,NLV32T-1R5J-EF,810-NLV32T-1R5J-EF,"Stock: 3334 In Stock, Price: $0.17, WARNING: Footprint mismatch? (Expected 1210)"
L702,1,220nH,1210,,,,NLV32T-2R7J-EF,,NLV32T-2R7J-EF,810-NLV32T-2R7J-EF,"Stock: 5048 In Stock, Price: $0.17, WARNING: Footprint mismatch? (Expected 1210)"
L1301,1,1uH,IND_XGL4030_COC,,,,XGL4030-102MEC,,XGL4030-102MEC,,No parts found
L1302,1,2.2uH,0805,,,2.2uH 0805,,,IMC0805ER2R2J01,70-IMC0805ER2R2J01,"Stock: 3904 In Stock, Price: $0.30, WARNING: Footprint mismatch? (Expected 0805)"
R101,1,100k,0603,,,,ERJ-P08J104V,667-ERJ-P08J104V,ERJ-P08J104V,667-ERJ-P08J104V,"Stock: N/A, Price: $0.15, WARNING: Footprint mismatch? (Expected 0603); Not Thin Film"
R201,1,330,0402,,,Resistor 1% thin film 330 0402,,,CRT0402-FV-3300GLF,652-CRT0402FV3300GLF,"Stock: 7788 In Stock, Price: $0.47"
R202,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R203,1,22,0402,,,Resistor 1% thin film 22 0402,,,RT0402FRE0722RL,603-RT0402FRE0722RL,"Stock: 18361 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R204,1,22,0402,,,Resistor 1% thin film 22 0402,,,RT0402FRE0722RL,603-RT0402FRE0722RL,"Stock: 18361 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R205,1,22,0402,,,Resistor 1% thin film 22 0402,,,RT0402FRE0722RL,603-RT0402FRE0722RL,"Stock: 18361 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R206,1,22,0402,,,Resistor 1% thin film 22 0402,,,RT0402FRE0722RL,603-RT0402FRE0722RL,"Stock: 18361 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R207,1,22,0402,,,Resistor 1% thin film 22 0402,,,RT0402FRE0722RL,603-RT0402FRE0722RL,"Stock: 18361 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R208,1,22,0402,,,Resistor 1% thin film 22 0402,,,RT0402FRE0722RL,603-RT0402FRE0722RL,"Stock: 18361 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
