"Refs","Qty","Value","Footprint","Voltage","Mfr","MPN","Mouser_PN","Description","Unit_Price","Total_Price"
"C1422,C1423,C1509,C1510,C1609,C1610,C1709,C1710,C1809,C1810,C1909,C1910,C712","13","3.3nF","0603","50.0","TDK","C1608C0G1H332J080AE","810-C1608C0G1H332J08","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 50VDC 3.3nF 5% C0G",0.1060,1.38
"C1201,C1202,C1203,C1204","4","100nF","0402","0.0","YAGEO","CC0402KRX7R7BB104","603-CC402KRX7R7BB104","Multilayer Ceramic Capacitors MLCC - SMD/SMT 16 V 0.1uF X7R 0402 10%",0.1000,0.40
"C1312","1","220pF","0603","50.0","TDK","C1608C0G1H221F080AA","810-C1608C0G1H221F","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 50VDC 220pF C0G 0.8mm",0.3000,0.30
"C1316","1","1nF","0402","25.0","Murata Electronics","GRM155R61E105KE11D","81-GRM155R61E105KE1D","Multilayer Ceramic Capacitors MLCC - SMD/SMT 1 uF 25 VDC 10% 0402 X5R",0.1100,0.11
"C1418,C1419,C1507,C1508,C1607,C1608,C1707,C1708,C1807,C1808,C1907,C1908","12","150pF","0603","50.0","YAGEO","CC0603JPNPO0BN220","603-CC0603JPNP0BN220","Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V 22pF C0G 0603 5%",0.0290,0.35
"D101","1","TPD1E0B04DPY","D_SOD-882","0.0","Texas Instruments","TPD1E0B04DPYR","595-TPD1E0B04DPYR","ESD Protection Diodes / TVS Diodes 0.13-pF +/-3.6-V + / -8-kV ESD protectio A 595-TPD1E0B04DPYT",0.5400,0.54
"D301","1","SP0402B-ELC-01ETG","0402","0.0","Littelfuse","SP0402B-ELC-01ETG","576-SP0402BELC-01ETG","ESD Protection Diodes / TVS Diodes 5V .15pF 22kV",0.4600,0.46
"D1301","1","SMBJ15A","D_SMB","0.0","Semtech","SMBJ15A","947-SMBJ15A","ESD Protection Diodes / TVS Diodes 1-Line 15V 24.6A TVS DO-214AA(SMB)",0.7100,0.71
"D1302,D1303","2","ESD9B5.0ST5G","D_SOD-923","0.0","onsemi","ESD9B5.0ST5G","863-ESD9B5.0ST5G","ESD Protection Diodes / TVS Diodes BiDIRECTIONAL ESD PROTECTION",0.1000,0.20
"FB1301,FB1401,FB201,FB301,FB302","5","600","0603","0.0","Laird Technologies","MI0603J601R-10","875-MI0603J601R-10","Ferrite Beads 600ohms 100MHz 1A Monolithic 0603 SMD",0.1000,0.50
"GD101","1","350V","GDT3535S1RP","0.0","Bourns","GDT35-35-S1-RP","652-GDT35-35-S1-RP","Gas Discharge Tubes - GDTs / Gas Plasma Arrestors Next-Generation GDT 5mm 350V",1.6300,1.63
"J101","1","SMA","733910083","0.0","Molex","73391-0083","538-73391-0083","RF Connectors / Coaxial Connectors SMA RA JACK, PCB",7.1100,7.11
"J201","1","68710814022","68710814022","0.0","Molex","503480-0800","538-503480-0800","FFC & FPC Connectors .5mm FPC 8P CONN RA SMT B-FLIP DUAL",0.8000,0.80
"J202","1","FTSH-105-01-L-DV-K","FTSH10501LDVK","0.0","Samtec","FTSH-105-01-L-DV-K","200-FTSH10501LDVK","Headers & Wire Housings High Reliability Header Strips",1.5600,1.56
"J1301","1","pwr+data","USB_C_Receptacle_HRO_TYPE-C-31-M-12-bursted","0.0","Same Sky","UJ20-C-H-G-SMT-1A-P16-TR","179-CHGSMT1AP16TR","USB Connectors USB Jack, Type C, 2.0, SMT, Horizontal, Gold Flash, 16 Pin, TR",0.4800,0.48
"L301,L302,L701","3","1.5uH","1210","0.0","TDK","NLV32T-1R5J-EF","810-NLV32T-1R5J-EF","RF Inductors - SMD 1.5uH 850mohms 370mA Wound Ferrite",0.1700,0.51
"L702","1","220nH","1210","0.0","TDK","NLV32T-2R7J-EF","810-NLV32T-2R7J-EF","RF Inductors - SMD 2.7uH 1.1ohms 290mA Wound Ferrite",0.1700,0.17
"L1301","1","1uH","IND_XGL4030_COC","0.0","Coilcraft","PFD2015-102MEC","994-PFD2015-102MEC","Coupled Inductors 1uH 20% 1.13A 165mOhms",1.1200,1.12
"L1302","1","2.2uH","0805","0.0","Murata Electronics","DFE252010P-2R2M=P2","81-DFE252010P-2R2MP2","Power Inductors - SMD 2.2  UH  20%",0.2100,0.21
"R101","1","100k","0603","0.0","Panasonic","ERJ-P08J104V","667-ERJ-P08J104V","Thick Film Resistors - SMD 1206 100Kohms 0.66W 5% AEC-Q200",0.1500,0.15
"R1404,R1406,R1408,R1410,R1413,R1414,R1505,R1506,R1605,R1606,R1705,R1706,R1805,R1806,R1905,R1906,R201","17","330","0402","0.0","Vishay / Beyschlag","MCS04020C3300FE000","594-MCS04020C3300FE0","Thin Film Resistors - SMD .063W 330ohms 1% 0402 50ppm",0.0240,0.41
"R1302,R1402,R1405,R1411,R1412,R1501,R1502,R1503,R1504,R1601,R1602,R1603,R1604,R1701,R1702,R1703,R1704,R1801,R1802,R1803,R1804,R1901,R1902,R1903,R1904,R202,R214,R217,R218,R219,R220,R401,R501,R601","34","10k","0402","0.0","YAGEO","AT0402FRE0710KL","603-AT0402FRE0710KL","Thin Film Resistors - SMD 0402 10kOhms 1 % 50P PM 62.5mW AECQ200",0.0460,1.56
"R203,R204,R205,R206,R207,R208,R209,R210,R211,R212,R213,R309,R310,R311,R312","15","22","0402","0.0","YAGEO","RT0402FRE0722RL","603-RT0402FRE0722RL","Thin Film Resistors - SMD 1/16W 22 ohm 1% 50pp m",0.0110,0.16
"R1304,R215","2","22.1k","0402","0.0","Vishay / Beyschlag","MCS04020C2212FE000","594-MCS04020C2212FE0","Thin Film Resistors - SMD MCS 0402-50 1% E0 22K1",0.1000,0.20
"R216","1","8.06k","0603","0.0","SEI Stackpole","RNCP0603FTD8K06","708-RNCP0603FTD8K06","Thin Film Resistors - SMD 8.06KOhms 0603 0.125W 100ppm 1% Hi Pwr Anti-Sulfur",0.1000,0.10
"R301,R302,R303,R304,R305,R306","6","47k","0402","0.0","YAGEO","AT0402FRE0747KL","603-AT0402FRE0747KL","Thin Film Resistors - SMD 0402 47kOhms 1 % 50PPM 62.5mW AECQ200",0.1000,0.60
"R307,R308","2","33","0402","0.0","Vishay","PNM0402K33R0FST1","71-PNM0402K33R0FST1","Thin Film Resistors - SMD PNM0402 100PPM 33 1% S T1 e1","",""
"R1001,R1003,R1101,R1103,R801,R803,R901,R903","8","34.4","0402","0.0","Vishay / Beyschlag","MCS04020C5761FE000","594-MCS04020C5761FE0","Thin Film Resistors - SMD MCS 0402-50 1% E0 5K76",0.1600,1.28
"R1002,R1102,R802,R902","4","562","0402","0.0","Vishay / Beyschlag","MCS04020C5621FE000","594-MCS04020C5621FE0","Thin Film Resistors - SMD MCS 0402-50 1% E0 5K62",0.1600,0.64
"R1301","1","57.6k","0402","0.0","Vishay / Beyschlag","MCS04020C5762FE000","594-MCS04020C5762FE0","Thin Film Resistors - SMD MCS 0402-50 1% E0 57K6",0.1600,0.16
"R1303,R1401,R1403,R1407,R1409","5","100k","0402","0.0","Vishay / Beyschlag","MCS04020C1003FE000","594-MCS04020C1003FE0","Thin Film Resistors - SMD .063W 100Kohms 1% 0402 50ppm",0.1000,0.50
"R1305,R1308","2","1k","0603","0.0","Vishay / Beyschlag","MCT06030C1331FP500","594-MCT06030C1331FP5","Thin Film Resistors - SMD MCT 0603-50 1% P5 1K33",0.1600,0.32
"R1306,R1307","2","5.1k","0603","0.0","Vishay / Beyschlag","MCT06030C5101FP500","594-MCT06030C5101FP5","Thin Film Resistors - SMD .1W 5.1Kohm 1% 0603 50ppm Auto",0.1000,0.20
"SW201","1","Push button switch","Panasonic_EVQPUK_EVQPUB","0.0","Same Sky","PB5-A-BK-R-67","179-PB5-A-BK-R-67","Pushbutton Switches Push Button, SPST, Off-On, 12mm, Raised, Black, Panel Mount, IP67",2.7900,2.79
"U201","1","STM32H753VITx","LQFP-100_14x14mm_P0.5mm","0.0","STMicroelectronics","STM32H753VIT6","511-STM32H753VIT6","ARM Microcontrollers - MCU High-performance & DSP DP-FPU, Arm Cortex-M7 MCU 2MBytes of Flash 1MB RAM, 480 M",17.0100,17.01
"U202","1","USB3343","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","0.0","Microchip Technology","USB3343-CP-TR","886-USB3343-CP-TR","USB Interface IC Hi-Speed USB 2.0 flexPWR 26Mhz XTAL",1.7300,1.73
"U301","1","OPA1692IDGK","VSSOP-8_3x3mm_P0.65mm","0.0","Texas Instruments","OPA1692IDGKR","595-OPA1692IDGKR","Operational Amplifiers - Op Amps SoundPlus Low-Power Low-Noise High-Pe A A 595-OPA1692IDGKT",2.0100,2.01
"U302","1","AK5578EN","QFN50P900X900X100-65N","0.0","Asahi Kasei Microdevices","AK5578EN","412-AK5578EN","Audio A/D Converter ICs Premium ADC Gen3 32bit 768kHz 120dB 8ch",20.6400,20.64
"U401,U501,U601","3","TS3A4751RUCR","TS3A4751-RUC14","0.0","Texas Instruments","TS3A4751RUCR","595-TS3A4751RUCR","Analog Switch ICs 0.9O Lo-Vltg Sgl-Spl Quad SPST Ana Sw",1.8700,5.61
"U1001,U1002,U1101,U1102,U701,U702,U703,U704,U705,U706,U707,U708,U709,U710,U711,U712,U801,U802,U901,U902","20","AS183-92LF","SOT65P220X110-6N","0.0","Skyworks Solutions, Inc.","AS183-92LF","873-AS183-92LF","RF Switch ICs .3-2500MHz IL .3dB IP3 +43dBm",1.3900,27.80
"U1201,U1202,U1203,U1204","4","STM32C011F4U6TR","QFN50P300X300X60-20N-D","0.0","STMicroelectronics","STM32C011F4P6","511-STM32C011F4P6","ARM Microcontrollers - MCU Arm Cortex-M0+ MCU with 16 Kbytes of Flash memory, 6 Kbytes RAM, 48 MHz",0.8000,3.20
"U1301","1","LMR51430","SOT-23-6","0.0","Texas Instruments","LMR51430YFDDCR","595-LMR51430YFDDCR","Switching Voltage Regulators SIMPLE SWITCHER&reg; 4.5-V to 36-V 3-A",1.5800,1.58
"U1302","1","TPS61023","SOT-563","0.0","Texas Instruments","TPS61023DRLR","595-TPS61023DRLR","Switching Voltage Regulators 3.7-A boost converte r with 0.5-V ultra- A 595-TPS61023DRLT",1.0800,1.08
"U1303","1","TPS7A2050PDBVR","DBV0005A-MFG","0.0","Texas Instruments","TPS7A2050PDBVR","595-TPS7A2050PDBVR","LDO Voltage Regulators 300-mA ultra-low-noi se low-IQ low-dropo",0.3600,0.36
"U1304,U1306","2","TPS22918DBVR","SOT-23-6","0.0","Texas Instruments","TPS22918DBVR","595-TPS22918DBVR","Power Switch ICs - Power Distribution 5.5-V 2-A 52-mohm lo ad switch with adj A 595-TPS22918DBVT",0.4900,0.98
"U1305","1","TPS7A2033PDBVR","DBV0005A-MFG","0.0","Texas Instruments","TPS7A2033PDBVR","595-TPS7A2033PDBVR","LDO Voltage Regulators 300-mA ultra-low-noi se low-IQ low-dropo",0.3200,0.32
"U1307","1","TPS74612PQWDRBRQ1","SON65P300X300X100-9N-D","0.0","Texas Instruments","TPS74612PQWDRBRQ1","595-PS74612PQWDRBRQ1","LDO Voltage Regulators Automotive 1-A low- IQ high-PSRR low-d",1.1600,1.16
"U1401,U1501,U1601,U1701,U1801,U1901","6","MAX9939AUB+T","21-0061L_MXM","0.0","Analog Devices / Maxim Integrated","MAX9939AUB+T","700-MAX9939AUB+T","Special Purpose Amplifiers SPI-Programmable Gain Amplifier (PGA) wi",3.9800,23.88
"U1402","1","ICE40UP5K-SG48I","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","0.0","Lattice","ICE40UP5K-SG48I","842-ICE40UP5K-SG48I","FPGA - Field Programmable Gate Array iCE40 UltraPlus, 5280 LUTs, 1.2V",10.1000,10.10
"Y201,Y202","2","26MHz","Crystal_SMD_2520-4Pin_2.5x2.0mm","0.0","Eaton Electronics","E2X260181G01","504-E2X260181G01","Resonators 26   MHZ 18PF 10PPM",0.2600,0.52
"Y1401","1","40MHz","ECSTXO201633400TR","0.0","ECS","ECS-TXO-2016-33-400-TR","520-TXO-2016-33-400T","TCXO Oscillators OSC TCXO 40.000MHZ SMD TXO-2016 HCMOS 3.3V +/-2.5ppm -40 C to +85 C",2.2500,2.25
