Designator,Mid X,Mid Y,Rotation,Layer
C210,8.4,12.35,180.0,top
C211,56.240829,24.6,90.0,top
C212,52.400829,16.375,180.0,top
C213,53.1,9.6,180.0,top
C214,53.125,17.6,180.0,top
C215,52.125,11.0,180.0,top
C216,74.525,24.0,0.0,top
C217,58.0,4.925,270.0,top
C218,53.95,4.075,180.0,top
C219,52.55,19.1,180.0,top
C220,48.4,12.1,180.0,top
C221,74.515829,22.475,0.0,top
C222,17.875,6.7,180.0,top
C223,48.95,6.95,270.0,top
C224,52.45,6.95,270.0,top
C225,50.7,6.725,270.0,top
C226,48.4,15.6,180.0,top
C227,79.17,20.55,0.0,top
C228,81.975,20.925,90.0,top
C229,76.7,16.15,270.0,top
C230,83.975,12.65,180.0,top
C301,78.625,67.375,270.0,top
C302,82.0,54.875,90.0,top
C303,89.95,64.475,90.0,top
C304,95.9625,55.315,0.0,top
C305,92.4,66.325,270.0,top
C306,94.4,51.765,90.0,top
C307,85.3625,60.335,90.0,top
C308,56.4,37.9,0.0,top
C309,39.525,34.06,0.0,top
C310,39.3,35.86,0.0,top
C311,56.175,39.65,0.0,top
C312,48.65,44.0,90.0,top
C313,38.975,32.56,0.0,top
C314,50.45,43.9,90.0,top
C315,38.75,30.76,0.0,top
C316,34.275,34.3,180.0,top
C317,41.805,28.26,270.0,top
C318,34.5,36.1,180.0,top
C319,39.78,28.96,180.0,top
C320,34.3,32.1,180.0,top
C321,34.525,30.35,180.0,top
C401,40.625063,53.735,90.0,top
C402,40.250063,62.685,90.0,top
C403,38.750063,62.685,90.0,top
C404,38.725063,54.135,90.0,top
C405,43.750063,59.16,0.0,top
C406,43.750063,57.66,0.0,top
C407,36.175063,57.96,180.0,top
C408,36.175063,59.46,180.0,top
C501,15.700063,53.735,90.0,top
C502,15.325063,62.685,90.0,top
C503,13.825063,62.685,90.0,top
C504,13.800063,54.135,90.0,top
C505,18.825063,59.16,0.0,top
C506,18.825063,57.66,0.0,top
C507,11.250063,57.96,180.0,top
C508,11.250063,59.46,180.0,top
C601,64.925,53.725,90.0,top
C602,64.55,62.675,90.0,top
C603,63.05,62.675,90.0,top
C604,63.025,54.125,90.0,top
C605,68.05,59.15,0.0,top
C606,68.05,57.65,0.0,top
C607,60.475,57.95,180.0,top
C608,60.475,59.45,180.0,top
C701,60.06,96.0,90.0,top
C702,56.46,96.025,90.0,top
C703,52.743,96.025,90.0,top
C704,49.196,96.0,90.0,top
C705,60.0975,84.7,270.0,top
C706,56.566,84.675,270.0,top
C707,52.974,84.675,270.0,top
C708,49.267,84.675,270.0,top
C709,45.785,95.9875,90.0,top
C710,42.31,95.95,90.0,top
C711,44.832,84.025,270.0,top
C712,46.418,84.025,270.0,top
D101,80.9,85.3,0.0,top
D1201,89.225,8.0225,90.0,top
D1202,87.45,3.35,180.0,top
D1203,87.725,20.15,270.0,top
D301,37.4,94.9,270.0,top
FB1201,86.3875,47.7,180.0,top
FB1301,17.6225,18.41,180.0,top
FB201,53.97,6.95,90.0,top
FB301,87.65,63.575,180.0,top
FB302,89.875,58.685,0.0,top
GD101,85.2,72.7,90.0,top
J101,94.332,74.6,180.0,top
J1201,93.975,15.58,90.0,top
J201,5.0,14.12,270.0,top
J202,11.52,6.61,180.0,top
L1201,95.6,41.2,180.0,top
L1202,80.9375,34.1,180.0,top
L301,88.6875,61.185,0.0,top
L302,92.0625,56.315,0.0,top
L701,36.11,83.475,180.0,top
L702,35.285,88.725,90.0,top
R1003,66.390001,86.85,0.0,top
R1004,66.395001,85.841,0.0,top
R1005,66.390001,84.825,180.0,top
R101,86.925,79.0,0.0,top
R1103,75.525,79.065001,90.0,top
R1104,76.534,79.070001,90.0,top
R1105,77.55,79.065,270.0,top
R1201,86.473335,8.425,90.0,top
R1202,87.973335,8.425,270.0,top
R1203,91.575,42.0,0.0,top
R1204,88.525,41.55,270.0,top
R1205,82.1,31.79,90.0,top
R1206,82.1,29.77,90.0,top
R1207,85.0,20.325,270.0,top
R1208,86.5,20.325,90.0,top
R1301,32.4,87.815,90.0,top
R1401,69.51,63.5918,0.0,top
R1402,71.9,63.5918,180.0,top
R1403,72.982656,54.144143,180.0,top
R1404,69.95,54.1,180.0,top
R1405,73.75,50.525,270.0,top
R1406,69.15,50.575,270.0,top
R1501,30.360063,63.4268,0.0,top
R1502,32.750063,63.4268,180.0,top
R1503,34.12053,54.043197,180.0,top
R1504,31.087874,53.999054,180.0,top
R1505,34.887874,50.424054,270.0,top
R1506,30.287874,50.474054,270.0,top
R1601,5.435063,63.4268,0.0,top
R1602,7.825063,63.4268,180.0,top
R1603,9.19553,54.043197,180.0,top
R1604,6.162874,53.999054,180.0,top
R1605,9.962874,50.424054,270.0,top
R1606,5.362874,50.474054,270.0,top
R1701,54.66,63.4168,0.0,top
R1702,57.05,63.4168,180.0,top
R1703,58.420467,54.033197,180.0,top
R1704,55.387811,53.989054,180.0,top
R1705,59.187811,50.414054,270.0,top
R1706,54.587811,50.464054,270.0,top
R1801,45.210063,63.6018,0.0,top
R1802,47.600063,63.6018,180.0,top
R1803,48.682719,54.154143,180.0,top
R1804,45.650063,54.11,180.0,top
R1805,49.450063,50.535,270.0,top
R1806,44.850063,50.585,270.0,top
R1901,20.285063,63.6018,0.0,top
R1902,22.675063,63.6018,180.0,top
R1903,23.757719,54.154143,180.0,top
R1904,20.725063,54.11,180.0,top
R1905,24.525063,50.535,270.0,top
R1906,19.925063,50.585,270.0,top
R201,52.625829,24.25,180.0,top
R202,67.1,25.65,90.0,top
R203,59.5,4.6,270.0,top
R204,84.325,14.75,180.0,top
R205,83.790937,17.4,0.0,top
R206,73.980829,13.855,180.0,top
R207,73.980829,14.925,180.0,top
R208,53.25,22.3,180.0,top
R209,48.05,10.35,180.0,top
R210,74.415,18.1,0.0,top
R211,48.1,20.85,180.0,top
R212,52.7,21.1,0.0,top
R213,66.05,25.65,90.0,top
R214,65.025,26.21,90.0,top
R215,74.225,16.675,0.0,top
R216,74.425,19.15,180.0,top
R217,69.8,26.235,270.0,top
R218,62.45,25.61,270.0,top
R219,30.925,5.525,270.0,top
R220,29.35,4.475,90.0,top
R302,84.1825,65.825,0.0,top
R303,83.2325,66.8675,180.0,top
R304,79.29,57.16,180.0,top
R305,77.525,58.8,0.0,top
R306,82.235,65.825,0.0,top
R307,79.776221,58.925,270.0,top
R308,87.3475,58.935,180.0,top
R309,87.34,57.9,180.0,top
R401,42.425063,54.035,90.0,top
R501,17.500063,54.035,90.0,top
R601,66.725,54.025,90.0,top
R803,69.637,96.134999,270.0,top
R804,68.628,96.129999,270.0,top
R805,67.612,96.134999,90.0,top
R903,78.404999,89.091,180.0,top
R904,78.4,90.1,180.0,top
R905,78.405001,91.116,0.0,top
U1001,69.224999,87.994999,0.0,top
U1002,69.224999,83.775001,0.0,top
U1101,74.380001,81.899999,90.0,top
U1102,78.6,81.899999,90.0,top
U1201,85.1375,35.2,180.0,top
U1202,91.0125,40.2,0.0,top
U1203,86.8,52.0375,90.0,top
U1204,78.96,30.75,90.0,top
U1206,28.5,30.2,0.0,top
U1207,27.7,11.2,0.0,top
U1208,95.3,61.4,90.0,top
U1301,16.813924,27.396516,0.0,top
U1401,71.7,58.7617,270.0,top
U1501,32.500062,58.56345,270.0,top
U1601,7.575062,58.56345,270.0,top
U1701,56.799999,58.55345,270.0,top
U1801,47.400063,58.7717,270.0,top
U1901,22.475063,58.7717,270.0,top
U2001,50.45,75.65,180.0,top
U2002,58.15,75.65,180.0,top
U2003,39.825,75.75,180.0,top
U2004,67.075,73.625,180.0,top
U201,63.490829,15.7,270.0,top
U202,78.65,11.525,90.0,top
U301,82.1125,62.0475,90.0,top
U302,46.55,34.4,270.0,top
U401,39.95,58.725,0.0,top
U501,15.025,58.725,0.0,top
U601,64.249937,58.715,0.0,top
U701,60.085,92.625,90.0,top
U702,56.465,92.625,90.0,top
U703,52.76,92.625,90.0,top
U704,49.225,92.6,90.0,top
U705,60.0975,88.05,270.0,top
U706,56.52,88.05,270.0,top
U707,52.94,88.05,270.0,top
U708,49.245,88.05,270.0,top
U709,45.795,92.6125,90.0,top
U710,42.312,92.595,90.0,top
U711,45.585,88.05,270.0,top
U712,41.11,85.0,180.0,top
U801,70.781999,93.300002,270.0,top
U802,66.562001,93.300001,270.0,top
U901,75.570002,87.946001,180.0,top
U902,75.570002,92.166,180.0,top
Y1301,27.351424,23.971516,90.0,top
Y201,50.865829,13.875,90.0,top
Y202,80.275,18.475,0.0,top
